Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.12838527,2.591004848,-0.5163497925,-0.3099786043,2.660077061
0.146724437,3.593895912,-0.3966665268,0.7886557579,3.700731018
0.165063551,4.036388874,0.2915830612,1.963035822,4.497884554
0.183402718,3.90986681,0.7510070801,3.02715373,5.001472764
0.201741884,3.179895163,-0.4952697754,5.673458576,6.522664916
0.220080999,2.289291859,-2.306745529,7.190473557,7.890807444
0.238420166,1.820315719,-1.599905014,4.080890656,4.746252618
0.256759332,1.21372056,-0.2248544693,1.880879641,2.249752287
0.275098499,1.158159018,1.005860329,-0.1560304463,1.541892607
0.293424853,1.265464783,1.710757256,-1.242861629,2.464304472
0.31177678,1.159294844,1.335586548,-0.641646862,1.881347033
0.330115947,0.6519585848,0.4343910217,-0.04473260045,0.784695203
0.348455062,0.4298788607,-0.2273616791,1.108166575,1.210174503
0.366794228,0.7152602077,-0.8847236633,1.503051758,1.885072336
0.385133395,1.044846058,-1.018369675,1.788564205,2.308190199
0.403472562,1.308492661,-0.72569561,2.350528479,2.78635448
0.421811676,1.089504838,-0.3917350769,2.547450542,2.798210398
0.440150843,0.5471384525,-0.08048725128,1.935079336,2.012553284
0.458477197,0.1116648912,0.1691875458,0.8052546978,0.8303785895
0.476829124,-0.2383100986,0.3033914566,0.08527185023,0.3951067799
0.495168291,-0.2608963847,0.05721282959,0.7942063808,0.8379164677
0.513507457,-0.1789306998,-0.3467741013,1.856593966,1.897158304
0.531846624,-0.02534925938,-0.8662796021,2.689932346,2.826096064
0.550185739,0.05896162987,-1.278831482,3.054712057,3.312122006
0.568524905,-0.08053731918,-1.308775902,2.930359364,3.210356152
0.586864072,-0.3966322541,-0.9802265167,2.512321711,2.725788243
0.605203239,-0.783054173,-0.4710683823,2.127640724,2.31558509
0.623542353,-1.173792124,0.09162425995,2.166762829,2.465977314
0.64188152,-1.155583262,0.7389564514,2.496220112,2.848252826
0.660220687,-0.5569201112,1.28749752,3.141837597,3.440778017
0.678559853,0.2527034283,1.556649208,2.767382622,3.185187962
0.696898968,0.6375518441,1.491749763,1.903212309,2.500801232
0.715238134,0.5954940319,1.063254356,1.200314522,1.710519781
0.733577301,0.654176116,0.1271762848,0.4706635475,0.8158703164
0.751916468,0.4897428155,-1.02145195,0.2471551001,1.159438552
0.770255582,0.05439034104,-2.246196747,1.285017371,2.588363919
0.788581989,-0.3397839963,-3.456359863,2.721517324,4.412316083
0.806933916,-1.489450455,-2.878686905,2.929283857,4.36875324
0.825273082,-2.639032364,0.9967098236,-0.0624589026,2.821670322
0.843599437,0.6058112979,4.487699509,-5.315381527,6.982817124
0.861951364,2.807165146,6.381913185,-3.402489662,7.757959007
0.88029053,2.490193844,4.61522007,-1.941802263,5.592129979
0.898616884,1.224256754,0.617354393,-2.273364544,2.654829071
0.916968864,-0.6993385553,-1.917150974,-1.109126091,2.322649986
0.935307978,-1.968024611,-3.934470654,0.9860250354,4.508372829
0.953634384,-1.840120077,-6.406578064,2.803218365,7.231066145
0.971986312,-1.413580894,-8.017025948,4.438973904,9.272292344
0.990325478,-0.05047506094,-8.30922699,4.542773247,9.470089211
1.008651832,1.352740765,-7.459927559,2.803300858,8.083249499
1.027003759,1.650560617,-6.249853134,1.179635286,6.570886847
1.045342926,1.136384487,-4.422003746,-0.488633275,4.591758847
1.063669332,1.320647955,-1.522987366,-1.081959248,2.28784557
1.082021259,2.358790398,1.192580223,0.334788084,2.66424901
1.100360374,3.432988167,2.97174263,2.551566839,5.20837358
1.11868678,2.266353369,0.86921978,3.828535318,4.533164822
1.137038707,-0.5740004778,2.519657135,1.54010582,3.008334184
1.155377874,-1.535729885,3.928221703,-1.530223608,4.486755656
1.173704228,0.9320228696,2.256229401,1.23441577,2.735510927
1.192056155,2.594290018,2.86438179,4.502467155,5.933568422
1.210395322,2.214445829,7.767010689,6.252067566,10.21364647
1.228721728,-0.9800839424,10.65313816,5.546936035,12.05066042
1.247073655,-2.31328249,5.998569489,4.620407104,7.917213752
1.265412822,-2.247265339,5.88339138,5.375539303,8.280152078
1.283739176,-1.828047395,9.37223053,5.919527054,11.23482367
1.302091103,-1.957560658,14.11612701,5.929592133,15.4355806
1.32043027,-1.902818918,17.13640976,3.356984138,17.56549464
1.338756624,-0.2482231855,15.04105663,1.055841565,15.08011276
1.357108551,2.406825781,10.28933144,0.4929833412,10.57857194
1.375447718,4.451415062,5.765304565,-0.8118303418,7.328908602
1.393774124,4.116727352,0.97103405,-1.952878714,4.658764481
1.412126051,1.475605845,-2.95926857,-1.368667603,3.578817415
1.430465166,-0.1973617822,-7.016283989,-0.137022078,7.020396551
1.448791572,-1.495644569,-10.64488983,0.1938794851,10.75119628
1.467143499,-2.85512495,-14.17957687,1.235139966,14.51680783
1.485482666,-2.863359928,-17.84350204,2.380845785,18.22794069
1.50380902,-2.020499229,-19.38632774,0.4398406744,19.49629658
1.522160947,-0.8160538077,-18.23485947,-1.137861848,18.28854213
1.540500114,-0.2212609053,-13.63256359,-0.8362699747,13.65998148
1.55882652,-1.06070447,-9.863757133,-0.9721625447,9.968144199
1.577178447,-2.255233049,-6.384910107,-1.950026035,7.046683952
1.595517562,-2.382856131,-4.582136154,-1.724360704,5.444942141
1.613843968,-0.8336577415,-4.779065132,-0.2774473131,4.859158958
1.632195895,0.7476184368,-6.551939011,0.4182091057,6.607702852
1.650535062,1.03311038,-8.831326485,1.146548033,8.965166866
1.668861416,0.6991268396,-10.74420547,1.762627363,10.91025136
1.687213343,0.1241582632,-11.52309704,2.090765715,11.71189489
1.705552509,-0.8843886852,-9.561515808,1.372533679,9.699926628
1.723878864,-1.296733975,-6.090493202,-0.5670602918,6.25277409
1.742230843,-0.09872002155,-1.40279007,-2.238485813,2.64355525
1.760569957,2.581742048,9.089089394,2.062111616,9.671051769
1.778896364,5.590741634,32.70259094,8.059566498,34.14194573
1.797248291,-1.378852487,26.00870323,12.52886868,28.90201426
1.815587457,-6.850252151,5.726186752,3.509668827,9.593380246
1.833913812,-4.681815147,5.814201355,-0.4361740351,7.477605115
1.852265739,-0.006855964661,18.73700333,2.552895069,18.91011935
1.870604905,3.754518509,20.76295853,6.336820602,22.03070928
1.888931259,4.706512451,16.9020462,5.447981834,18.37147058
1.907283187,0.9556429386,15.42730808,6.592443466,16.80402925
1.925622353,-1.762424946,12.56731796,5.55027771,13.85096405
1.943948707,-1.642271638,7.373029709,1.779039025,7.760386786
1.962300634,-0.5336092114,4.012631416,-2.803351879,4.92389393
1.980639801,0.2022000849,0.566655159,-2.481834888,2.553720297
1.998966155,-0.6133060455,-3.353156567,-1.251993179,3.631430873
2.017318134,-0.8334778547,-7.623492718,0.5193165541,7.686482696
2.035657249,-1.044718146,-11.36734772,2.804011822,11.75459537
2.053983655,-1.287324548,-15.3736248,4.294947624,16.01412249
2.072335582,-2.270480156,-17.85416603,2.699719906,18.19930802
2.090674697,-3.452530384,-18.57474327,-0.451607585,18.89828043
2.109001103,-3.044957399,-16.81861305,-2.199004412,17.23290837
2.12735303,-1.411396027,-12.9974947,-2.139620304,13.24782557
2.145692145,-0.4211398959,-9.631915092,-1.350665212,9.735268033
2.164018551,0.3805708885,-7.205735207,-0.9187656641,7.274034947
2.182370478,1.024832487,-5.850375175,-0.4008916616,5.952972824
2.200709645,0.8400315046,-5.406427383,0.04733023047,5.471503462
2.219048759,0.2970964015,-6.223767281,-0.2001158893,6.234067036
2.237387926,-0.7450524569,-7.132681847,0.3651181459,7.180777447
2.255727093,-1.466439247,-8.147533417,0.6982801557,8.307848098
2.274053447,-2.114558458,-8.527967453,-0.3012760878,8.791379507
2.292405374,-2.732722998,-6.678160667,-1.468894005,7.363644103
2.310744541,-1.809445143,-3.394959927,-1.739473104,4.222038762
2.329070895,0.6044409275,-0.7254362106,0.1168355942,0.9514499916
2.347422822,3.033624649,4.583667755,1.48708725,5.694235426
2.365761989,4.019021988,22.25253677,5.457948685,23.26192456
2.384088343,-2.097119808,34.93249512,11.84238338,36.9448125
2.40244027,-5.140582085,16.11608505,6.355675697,18.0706501
2.420779437,-5.31687212,9.925877571,3.817869425,11.88984027
2.439105791,-4.248823166,18.20969391,5.610571384,19.52239642
2.457457718,0.8729774952,20.90031815,6.052093983,21.77643749
2.475796884,3.624461412,16.9202404,5.327520847,18.10562714
2.494123239,4.411074162,13.63278961,-0.3863705397,14.33386933
2.512475166,2.606787205,12.62247086,-4.711537361,13.72299874
2.530814332,-0.1351961195,8.023891449,-2.782011032,8.493567999
2.549140687,-1.635981083,2.212578773,-1.149702311,2.982239819
2.567492614,-2.949188948,-2.609470844,1.685988188,4.283644442
2.58583178,-3.426992893,-8.716584206,5.654473782,10.94057559
2.604158134,-2.312495232,-15.10395718,8.781543732,17.62363943
2.622510062,-1.7986238,-19.43168449,8.493215561,21.28285978
2.640849228,-2.824662209,-21.28871918,3.688066483,21.7896791
2.659175582,-3.08596611,-21.92189026,-2.816272259,22.31644794
2.677527509,-2.393424511,-18.07356262,-4.191038609,18.7068691
2.695866676,-0.9510126114,-12.34718513,-2.73295784,12.68173743
2.71419303,-0.7377228737,-9.186883926,-1.422948122,9.325655616
2.732544957,-1.185852408,-5.22655201,-0.6433340311,5.397867219
2.750884124,-1.492761731,-1.616936684,0.2792039216,2.218282366
2.769210478,-0.4215574861,-2.119761944,0.3059599698,2.182822236
2.787562405,0.3820673823,-4.931811333,-0.48217538,4.97003336
2.805901572,-0.1083322763,-6.847277641,0.1691113561,6.850222305
2.824227926,-0.2549055815,-8.752737999,0.438246727,8.76740894
2.842579853,-0.001807510853,-11.21862507,-0.4043256342,11.22590891
2.860918968,-0.1502272189,-12.41124916,-0.1534345448,12.41310663
2.879245374,-0.4937215447,-9.590517044,-0.2969535887,9.60780722
2.897597301,-0.6757645011,-5.490784645,-1.777044535,5.810616229
2.915936416,-1.845438242,2.305746078,1.562000871,3.340951063
2.934262822,1.41626513,34.15644455,7.328395367,34.96246401
2.952614697,2.732535601,44.13272858,9.255169868,45.17546515
2.970953864,-2.74324584,13.03122616,10.64171696,17.04653609
2.98928027,-4.699808121,1.237234116,12.41871929,13.33579894
3.007632145,-2.485458851,11.20827103,4.914078236,12.48803467
3.025971312,0.07987934351,23.17453384,2.767202377,23.33929752
3.044297666,1.515340447,23.7625618,0.3219457865,23.81300588
3.062649593,1.46179831,17.5134697,1.526923537,17.64057739
3.080988759,0.07336476445,11.12509251,0.9589672089,11.16658783
3.099315114,0.01504045725,5.806080818,0.4346575439,5.822347281
3.117667041,-0.287504971,1.511582375,1.468450308,2.126943039
3.136006207,-0.6283550262,-2.643332481,2.520961285,3.706384012
3.154332562,-0.8772884607,-7.568098545,2.750882149,8.100191555
3.172684489,-1.082217216,-12.49092484,4.185650349,13.21794485
3.191023603,-1.563757539,-16.68332291,4.62511301,17.38304551
3.209350009,-3.241691589,-18.41011429,3.34450531,18.99017083
3.227701937,-5.130564213,-17.98049736,-0.858482182,18.71785154
